day,sensitive,resistant,immune,total,response_pct
0,990000000.0,10000000.0,1000000.0,1000000000.0,0.0
1,0.0,0.0,950625.0,0.0,100.0
2,0.0,0.0,903687.890625,0.0,100.0
3,0.0,0.0,859068.3010253906,0.0,100.0
4,0.0,0.0,816651.8036622619,0.0,100.0
5,0.0,0.0,776329.6208564378,0.0,100.0
6,0.0,0.0,737998.3458266512,0.0,100.0
7,0.0,0.0,701559.6775014603,0.0,100.0
8,0.0,0.0,666920.1684248256,0.0,100.0
9,0.0,0.0,633990.9851088498,0.0,100.0
10,0.0,0.0,602687.6802191003,0.0,100.0
11,0.0,0.0,572929.9760082823,0.0,100.0
12,0.0,0.0,544641.5584428733,0.0,100.0
13,0.0,0.0,517749.8814947564,0.0,100.0
14,0.0,0.0,492185.9810959528,0.0,100.0
15,0.0,0.0,467884.29827934015,0.0,100.0
16,0.0,0.0,444782.5110517977,0.0,100.0
17,0.0,0.0,422821.3745686152,0.0,100.0
18,0.0,0.0,401944.56919928984,0.0,100.0
19,0.0,0.0,382098.5560950749,0.0,100.0
20,0.0,0.0,363232.4398878806,0.0,100.0
21,0.0,0.0,345297.8381684165,0.0,100.0
22,0.0,0.0,328248.75740885094,0.0,100.0
23,0.0,0.0,312041.47501178895,0.0,100.0
24,0.0,0.0,296634.4271830819,0.0,100.0
25,0.0,0.0,281988.1023409173,0.0,100.0
26,0.0,0.0,268064.9397878345,0.0,100.0
27,0.0,0.0,254829.23338581013,0.0,100.0
28,0.0,0.0,242247.03998738577,0.0,100.0
29,0.0,0.0,230286.0923880086,0.0,100.0
30,0.0,0.0,218915.71657635068,0.0,100.0
31,0.0,0.0,208106.75307039337,0.0,100.0
32,0.0,0.0,197831.4821375427,0.0,100.0
33,0.0,0.0,188063.55270700154,0.0,100.0
34,0.0,0.0,178777.91479209333,0.0,100.0
35,0.0,0.0,169950.7552492337,0.0,100.0
36,0.0,0.0,161559.4367088028,0.0,100.0
37,0.0,0.0,153582.43952130564,0.0,100.0
38,0.0,0.0,145999.30656994117,0.0,100.0
39,0.0,0.0,138790.59080805033,0.0,100.0
40,0.0,0.0,131937.80538690285,0.0,100.0
41,0.0,0.0,125423.37624592452,0.0,100.0
42,0.0,0.0,119230.59704378199,0.0,100.0
43,0.0,0.0,113343.58631474526,0.0,100.0
44,0.0,0.0,107747.2467404547,0.0,100.0
45,0.0,0.0,102427.22643264476,0.0,100.0
46,0.0,0.0,97369.88212753294,0.0,100.0
47,0.0,0.0,92562.244197486,0.0,100.0
48,0.0,0.0,87991.98339023512,0.0,100.0
49,0.0,0.0,83647.37921034226,0.0,100.0
50,0.0,0.0,79517.28986183161,0.0,100.0
51,0.0,0.0,75591.12367490368,0.0,100.0
52,0.0,0.0,71858.81194345531,0.0,100.0
53,0.0,0.0,68310.7831037472,0.0,100.0
54,0.0,0.0,64937.938187999694,0.0,100.0
55,0.0,0.0,61731.627489967206,0.0,100.0
56,0.0,0.0,58683.62838265007,0.0,100.0
57,0.0,0.0,55786.12423125672,0.0,100.0
58,0.0,0.0,53031.684347338414,0.0,100.0
59,0.0,0.0,50413.244932688576,0.0,100.0
60,0.0,0.0,47924.09096413708,0.0,100.0
61,0.0,0.0,45557.83897278282,0.0,100.0
62,0.0,0.0,43308.42067350167,0.0,100.0
63,0.0,0.0,41170.067402747525,0.0,100.0
64,0.0,0.0,39137.295324736864,0.0,100.0
65,0.0,0.0,37204.89136807798,0.0,100.0
66,0.0,0.0,35367.89985677913,0.0,100.0
67,0.0,0.0,33621.609801350656,0.0,100.0
68,0.0,0.0,31961.54281740897,0.0,100.0
69,0.0,0.0,30383.441640799403,0.0,100.0
70,0.0,0.0,28883.259209784934,0.0,100.0
71,0.0,0.0,27457.148286301803,0.0,100.0
72,0.0,0.0,26101.451589665652,0.0,100.0
73,0.0,0.0,24812.69241742591,0.0,100.0
74,0.0,0.0,23587.56572931551,0.0,100.0
75,0.0,0.0,22422.929671430556,0.0,100.0
76,0.0,0.0,21315.79751890367,0.0,100.0
77,0.0,0.0,20263.3300164078,0.0,100.0
78,0.0,0.0,19262.82809684766,0.0,100.0
79,0.0,0.0,18311.725959565807,0.0,100.0
80,0.0,0.0,17407.584490312245,0.0,100.0
81,0.0,0.0,16548.085006103076,0.0,100.0
82,0.0,0.0,15731.023308926737,0.0,100.0
83,0.0,0.0,14954.304033048478,0.0,100.0
84,0.0,0.0,14215.93527141671,0.0,100.0
85,0.0,0.0,13514.02346739051,0.0,100.0
86,0.0,0.0,12846.768558688103,0.0,100.0
87,0.0,0.0,12212.459361102878,0.0,100.0
88,0.0,0.0,11609.469180148422,0.0,100.0
89,0.0,0.0,11036.251639378594,0.0,100.0
90,0.0,0.0,10491.336714684276,0.0,100.0
